
#S 55  ascan  th 24.8307 26.0308  40 2
#D Fri May 10 16:28:36 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.0076331 3.001320465 0.005927908825 1.5406 -4.345492604 4.385399697 -35 81.13531624 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00763 3.00132 0.00592791
#P0 120.7995 25.43075 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 20.0824K  51.3158K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.4995 24.816 2.98987 2.97997 0.00728743  70.9982 88.6049 502742 2 0 9
119.5495 24.841 2.99063 2.98073 0.00728928  70.9984 88.5927 502747 2 0 19
119.5995 24.866 2.99139 2.98148 0.00729113  70.9985 88.585 502752 2 0 13
119.6495 24.891 2.99215 2.98224 0.00729298  70.9987 88.5796 502758 2 0 29
119.6995 24.916 2.99291 2.983 0.00729483  70.999 88.5711 502763 2 0 28
119.7495 24.941 2.99367 2.98375 0.00729668  70.9993 88.5635 502768 2 0 22
119.7995 24.966 2.99442 2.98451 0.00729853  70.9991 88.56 502773 2 0 25
119.8495 24.991 2.99518 2.98526 0.00730037  70.999 0 502778 2 0 40
119.8995 25.016 2.99594 2.98602 0.00730222  70.9993 88.5441 502783 2 0 51
119.9495 25.041 2.99669 2.98677 0.00730406  70.9994 88.5374 502788 2 0 60
119.9995 25.066 2.99745 2.98752 0.0073059  70.9994 88.5322 502793 2 0 59
120.0495 25.091 2.9982 2.98827 0.00730774  70.9993 88.5256 502798 2 0 89
120.0995 25.116 2.99896 2.98903 0.00730958  70.9996 88.5216 502803 2 0 88
120.1495 25.141 2.99971 2.98978 0.00731141  70.9995 88.514 502808 2 0 119
120.1995 25.166 3.00046 2.99053 0.00731325  70.9994 88.5067 502814 2 0 138
120.2495 25.191 3.00122 2.99128 0.00731508  70.9998 0 502819 2 0 159
120.2995 25.216 3.00197 2.99203 0.00731692  70.9999 88.4999 502824 2 0 210
120.3495 25.241 3.00272 2.99278 0.00731875  70.9995 88.4925 502829 2 0 278
120.3995 25.266 3.00347 2.99353 0.00732058  70.9993 88.4872 502834 2 0 363
120.4495 25.291 3.00422 2.99427 0.00732241  0 88.4808 502839 2 0 410
120.4995 25.316 3.00497 2.99502 0.00732423  70.9997 88.4774 502844 2 0 511
120.5495 25.341 3.00572 2.99577 0.00732606  70.9998 88.4692 502849 2 0 604
120.5995 25.366 3.00647 2.99651 0.00732789  70.9997 88.4663 502854 2 0 720
120.6495 25.391 3.00722 2.99726 0.00732971  0 88.4603 502860 2 0 833
120.6995 25.416 3.00796 2.998 0.00733153  70.9996 88.4557 502865 2 0 967
120.7495 25.441 3.00871 2.99875 0.00733335  70.9998 88.4527 502870 2 0 1060
120.7995 25.466 3.00946 2.99949 0.00733517  70.9998 88.4473 502875 2 0 1098
120.8495 25.491 3.0102 3.00023 0.00733699  0 88.4433 502880 2 0 1101
120.8995 25.516 3.01095 3.00098 0.0073388  70.9998 88.436 502885 2 0 1090
120.9495 25.541 3.01169 3.00172 0.00734062  71 88.4364 502890 2 0 1008
120.9995 25.566 3.01244 3.00246 0.00734243  71 88.4333 502895 2 0 886
121.0495 25.591 3.01318 3.0032 0.00734424  70.9993 88.426 502901 2 0 819
121.0995 25.616 3.01392 3.00394 0.00734605  70.9998 88.4222 502906 2 0 748
121.1495 25.641 3.01466 3.00468 0.00734786  70.9999 88.4172 502911 2 0 661
121.1995 25.666 3.01541 3.00542 0.00734967  70.9998 88.416 502916 2 0 646
121.2495 25.691 3.01615 3.00616 0.00735148  0 88.409 502921 2 0 530
121.2995 25.716 3.01689 3.0069 0.00735328  70.9996 88.4075 502926 2 0 446
121.3495 25.741 3.01763 3.00764 0.00735508  70.9996 88.4074 502931 2 0 376
121.3995 25.766 3.01837 3.00837 0.00735689  70.9997 88.3991 502936 2 0 303
121.4495 25.791 3.01911 3.00911 0.00735869  0 88.3924 502941 2 0 236
121.4995 25.816 3.01984 3.00984 0.00736049  71.0001 88.3958 502947 2 0 175
121.5495 25.841 3.02058 3.01058 0.00736228  70.9998 88.3869 502952 2 0 149
121.5995 25.866 3.02132 3.01131 0.00736408  70.9996 88.3843 502957 2 0 110
121.6495 25.891 3.02206 3.01205 0.00736588  0 88.3856 502962 2 0 67
121.6995 25.916 3.02279 3.01278 0.00736767  71.0001 88.3773 502967 2 0 69
121.7495 25.941 3.02353 3.01351 0.00736946  70.9998 88.3785 502972 2 0 47
121.7995 25.966 3.02426 3.01425 0.00737125  70.9998 88.3725 502977 2 0 33
121.8495 25.991 3.025 3.01498 0.00737304  0 88.3718 502982 2 0 30
121.8995 26.016 3.02573 3.01571 0.00737483  70.9997 88.3672 502987 2 0 19
121.9495 26.041 3.02646 3.01644 0.00737662  70.9999 88.3656 502992 2 0 16
121.9995 26.066 3.02719 3.01717 0.0073784  70.9998 88.3639 502997 2 0 10
122.0495 26.091 3.02793 3.0179 0.00738019  70.9998 88.3579 503002 2 0 7
122.0995 26.116 3.02866 3.01863 0.00738197  70.9999 88.3557 503008 2 0 5
122.1495 26.141 3.02939 3.01936 0.00738375  70.9999 88.3537 503013 2 0 8
122.1995 26.166 3.03012 3.02009 0.00738553  70.9994 88.3521 503018 2 0 3
122.2495 26.191 3.03085 3.02081 0.00738731  0 88.3513 503023 2 0 5
122.2995 26.216 3.03158 3.02154 0.00738909  70.9996 88.3458 503028 2 0 1
#C Mon May 13 10:25:18 2019.  Temperature Setpoint at 70.
#C Mon May 13 10:25:20 2019.  Temperature Setpoint at 70.

#S 877  ascan  th 24.866 26.066  40 2
#D Mon May 13 10:27:20 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.009456859 2.999491504 0.007335169265 1.5406 -4.340748056 4.390128924 -35 81.1353318 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00946 2.99949 0.00733517
#P0 120.7995 25.466 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 70.9975K  88.3444K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.866 2.97826 3.03047 -0.0166181  69.9587 88.0206 503166 2 0 3
24.896 2.97983 3.02893 -0.0154205  69.9607 88.0105 503169 2 0 3
24.926 2.98139 3.02738 -0.0142228  0 88.0009 503172 2 0 3
24.956 2.98296 3.02584 -0.0130252  69.9644 87.9931 503175 2 0 12
24.986 2.98453 3.0243 -0.0118275  69.966 87.9867 503178 2 0 8
25.016 2.98609 3.02275 -0.0106299  0 87.9752 503181 2 0 16
25.046 2.98765 3.02121 -0.00943222  69.9691 87.9674 503184 2 0 19
25.076 2.98922 3.01966 -0.00823456  0 87.9577 503187 2 0 25
25.106 2.99078 3.01812 -0.00703689  0 87.9489 503190 2 0 36
25.136 2.99234 3.01657 -0.00583922  0 87.9423 503193 2 0 52
25.166 2.9939 3.01502 -0.00464155  0 87.9344 503196 2 0 91
25.196 2.99546 3.01347 -0.00344388  0 87.9282 503199 2 0 128
25.226 2.99702 3.01192 -0.00224621  0 87.9184 503202 2 0 221
25.256 2.99858 3.01037 -0.00104853  0 87.9123 503205 2 0 303
25.286 3.00013 3.00882 0.000149141  0 87.9033 503208 2 0 361
25.316 3.00169 3.00727 0.00134681  0 87.8942 503211 2 0 520
25.346 3.00324 3.00571 0.00254449  0 87.8877 503214 2 0 672
25.376 3.0048 3.00416 0.00374216  0 87.8822 503217 2 0 814
25.406 3.00635 3.0026 0.00493983  0 87.8722 503220 2 0 993
25.436 3.0079 3.00105 0.0061375  0 87.8629 503223 2 0 1111
25.466 3.00946 2.99949 0.00733517  0 87.8576 503226 2 0 1059
25.496 3.01101 2.99793 0.00853284  0 87.8518 503229 2 0 1073
25.526 3.01256 2.99638 0.0097305  0 87.8458 503232 2 0 946
25.556 3.01411 2.99482 0.0109282  0 87.8368 503235 2 0 849
25.586 3.01566 2.99326 0.0121258  0 87.8297 503238 2 0 719
25.616 3.0172 2.9917 0.0133235  0 87.8256 503241 2 0 519
25.646 3.01875 2.99013 0.0145211  0 87.8183 503244 2 0 342
25.676 3.0203 2.98857 0.0157188  0 87.8113 503247 2 0 216
25.706 3.02184 2.98701 0.0169164  0 87.8064 503250 2 0 129
25.736 3.02339 2.98544 0.0181141  0 87.7979 503253 2 0 87
25.766 3.02493 2.98388 0.0193117  69.9926 87.7934 503256 2 0 70
25.796 3.02648 2.98231 0.0205093  0 87.7881 503259 2 0 31
25.826 3.02802 2.98075 0.0217069  0 87.7848 503262 2 0 26
25.856 3.02956 2.97918 0.0229046  0 87.7715 503265 2 0 21
25.886 3.0311 2.97761 0.0241022  0 87.7676 503268 2 0 18
25.916 3.03264 2.97604 0.0252998  0 87.7651 503271 2 0 16
25.946 3.03418 2.97447 0.0264974  0 87.7597 503274 2 0 12
25.976 3.03572 2.9729 0.027695  0 87.7531 503277 2 0 8
26.006 3.03725 2.97133 0.0288925  0 87.7455 503280 2 0 10
26.036 3.03879 2.96976 0.0300901  0 87.7448 503283 2 0 9
26.066 3.04032 2.96819 0.0312877  0 87.7374 503286 2 0 8

#S 878  a2scan  tth 119.299 122.299  th 24.7168 26.2168  60 2
#D Mon May 13 10:29:30 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.00949565 2.999452577 0.007365110948 1.5406 -4.340647091 4.390229528 -35 81.13533217 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.0095 2.99945 0.00736511
#P0 120.7995 25.46675 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  87.7374K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.71675 2.98686 2.97689 0.00730971  69.9971 87.7094 503301 2 0 3
119.3495 24.74175 2.98762 2.97765 0.00731158  69.9976 87.7016 503306 2 0 3
119.3995 24.76675 2.98838 2.97841 0.00731345  69.9978 87.693 503311 2 0 3
119.4495 24.79175 2.98915 2.97917 0.00731531  69.998 87.6862 503316 2 0 8
119.4995 24.81675 2.98991 2.97993 0.00731717  69.9983 87.6763 503321 2 0 7
119.5495 24.84175 2.99067 2.98069 0.00731903  0 87.6705 503326 2 0 10
119.5995 24.86675 2.99143 2.98144 0.00732089  69.9985 87.6661 503330 2 0 15
119.6495 24.89175 2.99219 2.9822 0.00732275  69.9987 87.6588 503335 2 0 17
119.6995 24.91675 2.99295 2.98296 0.00732461  69.9987 87.6506 503340 2 0 30
119.7495 24.94175 2.9937 2.98371 0.00732646  69.9988 87.6464 503345 2 0 26
119.7995 24.96675 2.99446 2.98447 0.00732832  0 87.6361 503350 2 0 21
119.8495 24.99175 2.99522 2.98522 0.00733017  69.9992 87.6312 503355 2 0 41
119.8995 25.01675 2.99598 2.98598 0.00733202  69.9992 87.6241 503360 2 0 50
119.9495 25.04175 2.99673 2.98673 0.00733387  69.9992 87.6189 503365 2 0 55
119.9995 25.06675 2.99749 2.98748 0.00733572  69.9994 87.6123 503370 2 0 80
120.0495 25.09175 2.99824 2.98824 0.00733757  69.9994 87.6045 503375 2 0 77
120.0995 25.11675 2.999 2.98899 0.00733942  69.9994 0 503381 2 0 93
120.1495 25.14175 2.99975 2.98974 0.00734126  69.9992 87.5911 503386 2 0 123
120.1995 25.16675 3.0005 2.99049 0.0073431  69.9996 87.5835 503391 2 0 159
120.2495 25.19175 3.00126 2.99124 0.00734494  69.9995 87.5774 503396 2 0 158
120.2995 25.21675 3.00201 2.99199 0.00734678  69.9994 0 503401 2 0 224
120.3495 25.24175 3.00276 2.99274 0.00734862  69.9998 87.5684 503406 2 0 254
120.3995 25.26675 3.00351 2.99349 0.00735046  69.9996 87.5633 503411 2 0 342
120.4495 25.29175 3.00426 2.99423 0.0073523  69.9997 87.5566 503416 2 0 442
120.4995 25.31675 3.00501 2.99498 0.00735413  69.9996 87.55 503421 2 0 504
120.5495 25.34175 3.00576 2.99573 0.00735597  69.9997 87.5444 503426 2 0 672
120.5995 25.36675 3.00651 2.99647 0.0073578  69.9996 87.5397 503431 2 0 720
120.6495 25.39175 3.00726 2.99722 0.00735963  69.9997 87.5348 503437 2 0 931
120.6995 25.41675 3.008 2.99796 0.00736146  69.9996 87.53 503442 2 0 1064
120.7495 25.44175 3.00875 2.99871 0.00736328  69.9997 87.5247 503447 2 0 1030
120.7995 25.46675 3.0095 2.99945 0.00736511  69.9996 87.5199 503452 2 0 1121
120.8495 25.49175 3.01024 3.0002 0.00736694  69.9999 87.5163 503457 2 0 1100
120.8995 25.51675 3.01099 3.00094 0.00736876  69.9997 87.5109 503462 2 0 1079
120.9495 25.54175 3.01173 3.00168 0.00737058  69.9999 87.5058 503467 2 0 1007
120.9995 25.56675 3.01247 3.00242 0.0073724  69.9997 87.5018 503472 2 0 824
121.0495 25.59175 3.01322 3.00316 0.00737422  69.9997 87.4951 503477 2 0 852
121.0995 25.61675 3.01396 3.0039 0.00737604  69.9997 87.4927 503483 2 0 740
121.1495 25.64175 3.0147 3.00464 0.00737786  69.9994 87.489 503488 2 0 669
121.1995 25.66675 3.01545 3.00538 0.00737967  69.9998 87.4799 503493 2 0 561
121.2495 25.69175 3.01619 3.00612 0.00738148  69.9998 87.4777 503498 2 0 510
121.2995 25.71675 3.01693 3.00686 0.0073833  69.9996 87.4735 503503 2 0 429
121.3495 25.74175 3.01767 3.0076 0.00738511  70 87.4715 503508 2 0 341
121.3995 25.76675 3.01841 3.00833 0.00738692  0 87.4699 503513 2 0 291
121.4495 25.79175 3.01914 3.00907 0.00738873  69.9997 87.4651 503519 2 0 238
121.4995 25.81675 3.01988 3.00981 0.00739053  69.9996 87.4582 503524 2 0 188
121.5495 25.84175 3.02062 3.01054 0.00739234  69.9997 87.4573 503529 2 0 144
121.5995 25.86675 3.02136 3.01128 0.00739414  0 87.4532 503534 2 0 93
121.6495 25.89175 3.02209 3.01201 0.00739594  70.0001 87.4496 503539 2 0 82
121.6995 25.91675 3.02283 3.01274 0.00739774  69.9996 87.4469 503544 2 0 83
121.7495 25.94175 3.02357 3.01348 0.00739954  69.9997 87.4425 503549 2 0 64
121.7995 25.96675 3.0243 3.01421 0.00740134  69.9996 87.4366 503555 2 0 39
121.8495 25.99175 3.02503 3.01494 0.00740314  0 87.4359 503560 2 0 22
121.8995 26.01675 3.02577 3.01567 0.00740493  69.9999 87.4306 503565 2 0 34
121.9495 26.04175 3.0265 3.0164 0.00740673  69.9998 87.4294 503570 2 0 16
121.9995 26.06675 3.02723 3.01713 0.00740852  69.9997 87.4259 503575 2 0 12
122.0495 26.09175 3.02797 3.01786 0.00741031  0 87.4242 503580 2 0 9
122.0995 26.11675 3.0287 3.01859 0.0074121  69.9998 87.4214 503585 2 0 13
122.1495 26.14175 3.02943 3.01932 0.00741389  69.9999 87.4176 503590 2 0 2
122.1995 26.16675 3.03016 3.02005 0.00741568  69.9994 87.4134 503595 2 0 3
122.2495 26.19175 3.03089 3.02077 0.00741746  69.9998 87.4106 503601 2 0 7
122.2995 26.21675 3.03162 3.0215 0.00741925  0 87.4055 503606 2 0 3
#C Mon May 13 10:34:56 2019.  Temperature Setpoint at 69.
#C Mon May 13 10:34:57 2019.  Temperature Setpoint at 69.

#S 879  ascan  th 24.8667 26.0668  40 2
#D Mon May 13 10:36:58 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.00949565 2.999452577 0.007365110948 1.5406 -4.340647091 4.390229528 -35 81.13533217 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.0095 2.99945 0.00736511
#P0 120.7995 25.46675 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 69.9992K  87.4008K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
24.86675 2.9783 3.03043 -0.0165882  68.9582 87.0682 503744 2 0 5
24.89675 2.97987 3.02889 -0.0153906  68.9601 87.056 503747 2 0 5
24.92675 2.98143 3.02735 -0.0141929  68.9619 87.0459 503750 2 0 8
24.95675 2.983 3.0258 -0.0129953  68.9639 87.0359 503753 2 0 8
24.98675 2.98456 3.02426 -0.0117976  68.9655 87.0271 503756 2 0 3
25.01675 2.98613 3.02272 -0.0105999  68.9677 87.02 503759 2 0 10
25.04675 2.98769 3.02117 -0.00940228  68.9694 87.0099 503762 2 0 17
25.07675 2.98925 3.01962 -0.00820461  0 87.0001 503765 2 0 24
25.10675 2.99082 3.01808 -0.00700695  0 86.9933 503768 2 0 30
25.13675 2.99238 3.01653 -0.00580928  0 86.9833 503771 2 0 48
25.16675 2.99394 3.01498 -0.00461161  0 86.9744 503774 2 0 94
25.19675 2.9955 3.01343 -0.00341394  0 86.9677 503777 2 0 107
25.22675 2.99706 3.01188 -0.00221626  0 86.9604 503780 2 0 214
25.25675 2.99861 3.01033 -0.00101859  0 86.9515 503783 2 0 284
25.28675 3.00017 3.00878 0.000179083  0 86.9394 503786 2 0 360
25.31675 3.00173 3.00723 0.00137676  0 86.9346 503789 2 0 461
25.34675 3.00328 3.00567 0.00257443  0 86.9255 503792 2 0 686
25.37675 3.00484 3.00412 0.0037721  0 86.9198 503795 2 0 867
25.40675 3.00639 3.00257 0.00496977  0 86.9131 503798 2 0 1007
25.43675 3.00794 3.00101 0.00616744  0 86.906 503801 2 0 1122
25.46675 3.0095 2.99945 0.00736511  0 86.8998 503804 2 0 1142
25.49675 3.01105 2.9979 0.00856278  0 86.8897 503807 2 0 1054
25.52675 3.0126 2.99634 0.00976044  0 86.8829 503810 2 0 983
25.55675 3.01415 2.99478 0.0109581  0 86.8783 503813 2 0 879
25.58675 3.0157 2.99322 0.0121558  0 86.8699 503816 2 0 690
25.61675 3.01724 2.99166 0.0133534  0 86.8611 503819 2 0 537
25.64675 3.01879 2.9901 0.0145511  0 86.8564 503822 2 0 342
25.67675 3.02034 2.98853 0.0157487  0 86.8475 503825 2 0 203
25.70675 3.02188 2.98697 0.0169464  0 86.8427 503828 2 0 151
25.73675 3.02343 2.98541 0.018144  0 86.836 503831 2 0 87
25.76675 3.02497 2.98384 0.0193416  0 86.831 503834 2 0 58
25.79675 3.02651 2.98228 0.0205393  0 86.8232 503837 2 0 43
25.82675 3.02806 2.98071 0.0217369  0 86.8204 503840 2 0 29
25.85675 3.0296 2.97914 0.0229345  0 86.8133 503843 2 0 23
25.88675 3.03114 2.97757 0.0241321  0 86.8067 503846 2 0 20
25.91675 3.03268 2.976 0.0253297  0 86.8038 503849 2 0 19
25.94675 3.03422 2.97443 0.0265273  0 86.7974 503852 2 0 17
25.97675 3.03575 2.97286 0.0277249  0 86.7871 503855 2 0 10
26.00675 3.03729 2.97129 0.0289225  0 86.7847 503858 2 0 10
26.03675 3.03883 2.96972 0.03012  0 86.7821 503861 2 0 6
26.06675 3.04036 2.96815 0.0313176  0 86.7754 503864 2 0 11

#S 880  a2scan  tth 119.299 122.299  th 24.7207 26.2207  60 2
#D Mon May 13 10:39:08 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.009702526 2.999244961 0.007524799904 1.5406 -4.340108597 4.39076607 -35 81.13533415 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.0097 2.99924 0.0075248
#P0 120.7995 25.47075 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 0K  86.7754K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.72075 2.98706 2.97669 0.0074682  68.9971 86.7486 503879 2 0 6
119.3495 24.74575 2.98783 2.97745 0.00747011  68.9974 0 503884 2 0 2
119.3995 24.77075 2.98859 2.97821 0.00747201  68.9979 86.7343 503889 2 0 9
119.4495 24.79575 2.98935 2.97896 0.00747392  68.998 86.7245 503894 2 0 7
119.4995 24.82075 2.99011 2.97972 0.00747582  68.9984 86.7186 503897 2 0 6
119.5495 24.84575 2.99087 2.98048 0.00747772  68.9982 86.7135 503901 2 0 15
119.5995 24.87075 2.99163 2.98124 0.00747962  68.9986 86.7074 503906 2 0 15
119.6495 24.89575 2.99239 2.982 0.00748152  68.9986 86.6996 503911 2 0 15
119.6995 24.92075 2.99315 2.98275 0.00748342  68.9988 86.6885 503916 2 0 21
119.7495 24.94575 2.99391 2.98351 0.00748532  68.9988 86.6813 503921 2 0 27
119.7995 24.97075 2.99467 2.98426 0.00748721  68.9991 86.6788 503926 2 0 25
119.8495 24.99575 2.99542 2.98502 0.0074891  68.999 86.6685 503931 2 0 37
119.8995 25.02075 2.99618 2.98577 0.00749099  68.999 86.6609 503937 2 0 42
119.9495 25.04575 2.99694 2.98652 0.00749288  68.9991 86.656 503942 2 0 55
119.9995 25.07075 2.99769 2.98728 0.00749477  68.9995 86.652 503947 2 0 74
120.0495 25.09575 2.99845 2.98803 0.00749666  0 86.6431 503952 2 0 100
120.0995 25.12075 2.9992 2.98878 0.00749855  68.9994 86.6343 503957 2 0 88
120.1495 25.14575 2.99996 2.98953 0.00750043  68.9996 86.631 503962 2 0 116
120.1995 25.17075 3.00071 2.99028 0.00750231  68.9997 86.6263 503967 2 0 159
120.2495 25.19575 3.00146 2.99103 0.0075042  0 86.6204 503972 2 0 172
120.2995 25.22075 3.00221 2.99178 0.00750608  68.9998 86.6134 503977 2 0 235
120.3495 25.24575 3.00297 2.99253 0.00750796  68.9997 86.6086 503982 2 0 278
120.3995 25.27075 3.00372 2.99328 0.00750983  68.9997 86.5997 503987 2 0 314
120.4495 25.29575 3.00447 2.99403 0.00751171  0 86.5947 503992 2 0 419
120.4995 25.32075 3.00522 2.99477 0.00751358  68.9995 86.5926 503998 2 0 513
120.5495 25.34575 3.00597 2.99552 0.00751546  68.9998 86.5832 504003 2 0 631
120.5995 25.37075 3.00671 2.99627 0.00751733  68.9997 86.5788 504008 2 0 780
120.6495 25.39575 3.00746 2.99701 0.0075192  0 86.5725 504013 2 0 875
120.6995 25.42075 3.00821 2.99776 0.00752107  68.9998 86.5708 504018 2 0 932
120.7495 25.44575 3.00896 2.9985 0.00752293  68.9997 86.5653 504023 2 0 1018
120.7995 25.47075 3.0097 2.99924 0.0075248  68.9998 86.5594 504028 2 0 1101
120.8495 25.49575 3.01045 2.99999 0.00752666  0 86.5547 504033 2 0 1129
120.8995 25.52075 3.01119 3.00073 0.00752853  68.9995 86.5501 504038 2 0 1091
120.9495 25.54575 3.01194 3.00147 0.00753039  68.9998 86.5471 504044 2 0 1026
120.9995 25.57075 3.01268 3.00221 0.00753225  68.9998 86.5403 504049 2 0 893
121.0495 25.59575 3.01343 3.00295 0.00753411  68.9998 86.5372 504054 2 0 823
121.0995 25.62075 3.01417 3.0037 0.00753597  68.9995 86.5336 504059 2 0 740
121.1495 25.64575 3.01491 3.00444 0.00753782  68.9997 86.5294 504064 2 0 714
121.1995 25.67075 3.01565 3.00517 0.00753968  68.9998 86.5242 504069 2 0 566
121.2495 25.69575 3.01639 3.00591 0.00754153  0 86.5236 504074 2 0 511
121.2995 25.72075 3.01713 3.00665 0.00754338  68.9997 86.5166 504079 2 0 471
121.3495 25.74575 3.01787 3.00739 0.00754523  68.9997 86.5109 504084 2 0 358
121.3995 25.77075 3.01861 3.00813 0.00754708  69 86.5076 504089 2 0 333
121.4495 25.79575 3.01935 3.00886 0.00754893  0 86.5033 504095 2 0 266
121.4995 25.82075 3.02009 3.0096 0.00755077  68.9997 86.499 504100 2 0 176
121.5495 25.84575 3.02083 3.01033 0.00755262  68.9997 86.4983 504105 2 0 141
121.5995 25.87075 3.02157 3.01107 0.00755446  68.9997 86.495 504110 2 0 114
121.6495 25.89575 3.0223 3.0118 0.0075563  0 86.4936 504115 2 0 85
121.6995 25.92075 3.02304 3.01253 0.00755814  69.0001 86.4893 504120 2 0 52
121.7495 25.94575 3.02377 3.01327 0.00755998  68.9998 86.4819 504125 2 0 54
121.7995 25.97075 3.02451 3.014 0.00756182  68.9999 86.4812 504131 2 0 36
121.8495 25.99575 3.02524 3.01473 0.00756365  0 86.4771 504136 2 0 18
121.8995 26.02075 3.02598 3.01546 0.00756549  68.9998 86.4737 504141 2 0 23
121.9495 26.04575 3.02671 3.01619 0.00756732  68.9998 86.471 504146 2 0 11
121.9995 26.07075 3.02744 3.01692 0.00756915  68.9998 86.472 504151 2 0 17
122.0495 26.09575 3.02817 3.01765 0.00757098  68.9999 0 504156 2 0 22
122.0995 26.12075 3.02891 3.01838 0.00757281  68.9997 86.4649 504161 2 0 13
122.1495 26.14575 3.02964 3.01911 0.00757464  68.9996 86.4575 504166 2 0 10
122.1995 26.17075 3.03037 3.01984 0.00757646  68.9998 86.46 504171 2 0 7
122.2495 26.19575 3.0311 3.02056 0.00757829  0 86.4511 504176 2 0 7
122.2995 26.22075 3.03182 3.02129 0.00758011  68.9998 86.4515 504181 2 0 4
#C Mon May 13 10:44:32 2019.  Temperature Setpoint at 68.
#C Mon May 13 10:44:33 2019.  Temperature Setpoint at 68.

#S 881  ascan  th 24.8707 26.0708  40 2
#D Mon May 13 10:46:34 2019
#T 2  (Seconds)
