
#S 55  ascan  th 24.8307 26.0308  40 2
#D Fri May 10 16:28:36 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.0076331 3.001320465 0.005927908825 1.5406 -4.345492604 4.385399697 -35 81.13531624 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00763 3.00132 0.00592791
#P0 120.7995 25.43075 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 20.0824K  51.3158K 
#N 10
#L Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
25.67075 3.02003 2.98885 0.0155092  0 50.9533 266301 2 0 128
25.70075 3.02157 2.98728 0.0167068  21.0002 50.9526 266304 2 0 68
25.73075 3.02312 2.98572 0.0179045  21 50.9507 266307 2 0 59
25.76075 3.02466 2.98415 0.0191021  0 50.9497 266310 2 0 47
25.79075 3.02621 2.98259 0.0202997  21 50.9513 266313 2 0 43
25.82075 3.02775 2.98102 0.0214974  0 50.9513 266316 2 0 37
25.85075 3.02929 2.97945 0.022695  0 50.9489 266319 2 0 18
25.88075 3.03083 2.97789 0.0238926  0 50.9489 266322 2 0 12
25.91075 3.03237 2.97632 0.0250902  0 50.9491 266325 2 0 9
25.94075 3.03391 2.97475 0.0262878  0 50.9469 266328 2 0 9
25.97075 3.03545 2.97318 0.0274854  0 50.9449 266331 2 0 12
26.00075 3.03698 2.97161 0.028683  0 50.9465 266334 2 0 9
26.03075 3.03852 2.97003 0.0298805  20.9999 50.9457 266337 2 0 7

#S 58  a2scan  tth 119.299 122.299  th 24.6827 26.1827  60 2
#D Fri May 10 16:40:21 2019
#T 2  (Seconds)
#G0 1 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.764246411 3.764246411 13.15 90 90 90 1.669174815 1.669174815 0.4778087686 90 90 90 3 3 0 3 1 0 120.4995 25.24975 0.723 21.66425 0 0 80.62475 20.3125 4.96 33 0 0 1.5406 1.5406
#G3 1.415202149 0.8815720136 0.02250008544 0.8616322396 -1.406170782 0.07377271607 0.2023297414 -0.1779299856 -0.471542736
#G4 3.007736606 3.001216724 0.006007753454 1.5406 -4.345223454 4.385668066 -35 81.13531704 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 3.00774 3.00122 0.00600775
#P0 120.7995 25.43275 0.707 21.69625 -9.51875 11.86625 13.21 11.20125
#P1 24.50625 19.125 2.68 7.105 
#X 20.9999K  50.9457K 
#N 11
#L 2Th  Th  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
119.2995 24.68275 2.98511 2.97864 0.00596257  20.9997 50.9425 266353 2 0 6
119.3495 24.70775 2.98588 2.9794 0.00596409  20.9996 50.9381 266358 2 0 5
119.3995 24.73275 2.98664 2.98016 0.00596561  20.9997 50.9376 266363 2 0 3
119.4495 24.75775 2.9874 2.98092 0.00596713  0 50.9364 266366 2 0 10
119.4995 24.78275 2.98816 2.98168 0.00596865  0 50.9349 266372 2 0 5
