#F NdLSCO0_0p24
#E 1513013725
#D Mon Dec 11 12:35:25 2017
#C Lineup  User = lab
#O0      2Th        Th       Chi       Phi      SLIR      SLIL      SLIT      SLIB
#O1     SLSL      SLSR      SLST      SLSB  

#S 1  ascan  th 14 18  30 1
#D Mon Dec 11 13:56:29 2017
#T 1  (Seconds)
48.316 0.606302 1.90533 -0.317699  289.992 294.043 5368 1 0 441
48.336 0.60687 1.90597 -0.317683  289.991 294.043 5370 1 0 305
48.356 0.607437 1.90661 -0.317668  289.991 294.043 5372 1 0 198
48.376 0.608005 1.90725 -0.317652  289.991 294.043 5374 1 0 179
48.396 0.608573 1.90788 -0.317636  289.992 294.043 5375 1 0 125
48.416 0.609141 1.90852 -0.31762  289.993 294.043 5377 1 0 114
48.436 0.609709 1.90916 -0.317604  289.992 294.043 5379 1 0 59
48.456 0.610278 1.9098 -0.317588  289.993 294.043 5381 1 0 36
48.476 0.610847 1.91043 -0.317572  289.992 294.043 5383 1 0 16
48.496 0.611416 1.91107 -0.317555  289.992 294.043 5385 1 0 30
48.516 0.611985 1.9117 -0.317539  289.992 294.043 5387 1 0 14
48.536 0.612555 1.91234 -0.317522  289.992 294.043 5389 1 0 18
48.556 0.613124 1.91298 -0.317505  289.993 294.043 5391 1 0 5
48.576 0.613694 1.91361 -0.317488  289.993 294.043 5393 1 0 5
#C Mon Dec 11 14:06:29 2017.  Orientation vectors swapped.
#C Mon Dec 11 14:06:46 2017.  g_h0 reset from 4 to 2.
#C Mon Dec 11 14:06:46 2017.  g_u00 reset from 109.842 to 48.137.
#C Mon Dec 11 14:06:46 2017.  g_u01 reset from 24.9213 to 16.5365.
#C Mon Dec 11 14:06:46 2017.  g_u02 reset from -7.59325 to -6.46675.
#C Mon Dec 11 14:06:46 2017.  g_u03 reset from 20.735 to 70.9352.
#C Mon Dec 11 14:08:00 2017.  Mode reset from 1 to 3.
#C Mon Dec 11 14:09:26 2017.  g_aa reset from 3.76734 to 3.77757.
#C Mon Dec 11 14:09:26 2017.  g_bb reset from 3.76734 to 3.77757.

#S 7  ascan  phi 65.9352 69.9352  30 1
#D Mon Dec 11 14:18:18 2017
#T 1  (Seconds)
#G0 3 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
#G1 3.777567879 3.777567879 13.11033219 90 90 90 1.663288525 1.663288525 0.4792544701 90 90 90 2 0 0 3 3 0 48.137 16.5365 -6.46675 70.93525 0 0 120.335 25.1675 -7.32275 70.86125 0 0 1.5406 1.5406
#G3 0.7412412656 1.48557409 -0.02904287581 1.477362629 -0.747809486 -0.0452928124 -0.1857142127 -0.01947599521 -0.4762246525
#G4 2.943942066 1.154645965 0.01553300299 1.5406 -0.984212029 1.088810512 -25.95986006 88.64382872 0 0 0 0 0 0 0 0 -180 -180 -180 -180 -180 -180 -180 -180 -180 0
#Q 2.94394 1.15465 0.015533
#P0 80.3065 14.1935 -7.0035 67.93525 -1.9 4 1 3
#P1 -9.5 -2 6 8 
#X 289.993K  294.043K 
#N 10
#L Phi  H  K  L    TempA  TempC  Epoch  Seconds  Monitor  Detector
65.93525 2.90213 1.25602 0.0276918  290.027 294.043 6185 1 0 9
66.20175 2.90791 1.2426 0.0259891  289.799 294.021 6190 1 0 8
66.202 2.90791 1.24258 0.0259875  289.743 294.038 6196 1 0 4
66.33525 2.91078 1.23586 0.0251457  290.029 294.041 6200 1 0 7
66.60175 2.91646 1.2224 0.023481  289.782 294.027 6205 1 0 11
66.60175 2.91646 1.2224 0.023481  289.78 294.037 6210 1 0 10
66.73525 2.91928 1.21565 0.0226567  290.033 294.04 6214 1 0 9
67.00175 2.92486 1.20214 0.0210301  289.788 294.043 6219 1 0 10
67.002 2.92487 1.20213 0.0210285  289.744 294.043 6222 1 0 12
67.13525 2.92764 1.19537 0.0202248  290.03 294.043 6227 1 0 15
67.40175 2.93313 1.18183 0.0186363  289.786 294.033 6232 1 0 16
67.402 2.93314 1.18182 0.0186349  289.745 294.04 6237 1 0 16
67.6685 2.93857 1.16825 0.0170719  289.704 294.043 6244 1 0 15
67.6685 2.93857 1.16825 0.0170719  289.702 294.043 6246 1 0 23
67.802 2.94127 1.16144 0.0162985  289.745 294.043 6253 1 0 19
68.0685 2.9466 1.14784 0.0147739  289.705 294.043 6261 1 0 25
68.0685 2.9466 1.14784 0.0147739  289.704 294.043 6263 1 0 25
68.0685 2.9466 1.14784 0.0147739  289.703 294.043 6268 1 0 26
68.33525 2.95188 1.1342 0.0132733  290.051 294.036 6273 1 0 19
68.33525 2.95188 1.1342 0.0132733  290.048 294.041 6278 1 0 20
68.602 2.9571 1.12053 0.0117984  289.759 294.042 6281 1 0 16
68.8685 2.96224 1.10685 0.0103505  289.714 294.028 6287 1 0 16
68.8685 2.96224 1.10685 0.0103505  289.704 294.032 6289 1 0 24
69.002 2.9648 1.09999 0.00963486  289.75 294.037 6292 1 0 19
69.13525 2.96733 1.09314 0.00892695  290.035 294.04 6295 1 0 15
69.40175 2.97235 1.07942 0.00753039  289.803 294.039 6299 1 0 9
69.402 2.97236 1.0794 0.00752909  289.741 294.041 6301 1 0 11
69.53525 2.97484 1.07253 0.00684046  290.042 294.042 6304 1 0 4
69.80175 2.97977 1.05877 0.00548248  289.795 294.015 6309 1 0 10
69.802 2.97977 1.05876 0.00548122  289.741 294.031 6313 1 0 11
69.93525 2.98221 1.05187 0.0048119  290.043 294.037 6316 1 0 8

#S 8  ascan  th 13.1935 15.1935  30 1
#D Mon Dec 11 14:21:24 2017
#T 1  (Seconds)
#G0 3 0 0 0 0 1 0 0 0 0 0 0 50 0 0.1 0 68 68 50 -1 1 1 3.13542 3.13542 0 463.6 838.8
